,neighborhood,post title,URL,price,longitude,latitude
8039, (The Loop),Furnished Rad Loop 1BR w/ Rooftop + Gym near Millenium Park,https://chicago.craigslist.org/chc/apa/d/chicago-furnished-rad-loop-1br-rooftop/7079614731.html,2690,-87.626714,41.879554
8040, (The Loop),Gorgeous 1 bed/1 bath | Pet Friendly!,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-1-bed-1-bath-pet/7081146779.html,2600,-87.626714,41.879554
8041, (The Loop),"Furnished Cozy Loop 1BR w/ Gym, Pool, W/D, by West Loop & the L",https://chicago.craigslist.org/chc/apa/d/chicago-furnished-cozy-loop-1br-gym/7076844485.html,2790,-87.633778,41.877766
8042, (The Loop),"Furnished Ideal Loop 1BR w/ Gym, Pool, W/D, nr. West Loop & L",https://chicago.craigslist.org/chc/apa/d/chicago-furnished-ideal-loop-1br-gym/7077651420.html,2790,-87.633778,41.877766
8043, (Chicago - The Loop),"Luxury Convertible in the Loop! W/D in-unit, Hardwood, Gym/Pool",https://chicago.craigslist.org/chc/apa/d/chicago-luxury-convertible-in-the-loop/7083330891.html,1944,-87.626052,41.886256
8044, (The Loop),"Furnished Ideal Loop Studio w/ Gym, Roofdeck, by Millennium Park",https://chicago.craigslist.org/chc/apa/d/chicago-furnished-ideal-loop-studio-gym/7076926522.html,1790,-87.625681,41.885867
8045, (The Loop),"Furnished Cosy Loop 1BR w/ Gym, Pool, near Theatre District",https://chicago.craigslist.org/chc/apa/d/chicago-furnished-cosy-loop-1br-gym/7079538318.html,2590,-87.625681,41.885867
8046," (300 N State St, Chicago IL)",Marina City Studio,https://chicago.craigslist.org/chc/apa/d/chicago-marina-city-studio/7080958383.html,1450,-87.628152,41.887732
8047, (River North),Marina Towers Studio downtown Chicago,https://chicago.craigslist.org/chc/apa/d/chicago-marina-towers-studio-downtown/7072253592.html,1400,-87.628326,41.887934
8048, (151 N. Michigan Ave),"Stunning One Bedroom Available April 1st! Pool, Gym, Doorman, Parking",https://chicago.craigslist.org/chc/apa/d/chicago-stunning-one-bedroom-available/7083462514.html,1875,-87.624485,41.884529
8049, (151 N. Michigan Ave),"Amazing, Large Studio on Michigan Ave-Rooftop Deck + Gym + Doorman",https://chicago.craigslist.org/chc/apa/d/chicago-amazing-large-studio-on/7083462877.html,1695,-87.624485,41.884529
8050, (151 N. Michigan Ave),"April 1st Stunning One Bedroom Available on Michigan Ave! Doorman, Gym",https://chicago.craigslist.org/chc/apa/d/chicago-april-1st-stunning-one-bedroom/7083463754.html,1875,-87.624485,41.884529
8051, (151 N. Michigan Ave),"Beautiful, Large Studio on Michigan Ave-Rooftop Deck + Gym + Doorman",https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-large-studio-on/7083464747.html,1745,-87.624485,41.884529
8052, (151 N. Michigan Ave),"Gorgeous One Bedroom! Pet-friendly, Parking, Gym, Pool, Sundeck",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-one-bedroom-pet/7083465549.html,1875,-87.624485,41.884529
8053, (151 N. Michigan Ave),"Beautiful, Large Studio on Michigan Ave-Rooftop Deck + Gym + Doorman",https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-large-studio-on/7083466052.html,1695,-87.624485,41.884529
8054, (151 N. Michigan Ave),"Rarely Available, Beautiful One Bed on Michigan Ave for 4/1! Pool, Gym",https://chicago.craigslist.org/chc/apa/d/chicago-rarely-available-beautiful-one/7083466458.html,1825,-87.624485,41.884529
8055, (151 N. Michigan Ave),"Spacious 1 Bedroom with Amazing Views! 24/7 Doorman, Gym, Rooftop Deck",https://chicago.craigslist.org/chc/apa/d/chicago-spacious-1-bedroom-with-amazing/7083467188.html,1875,-87.624485,41.884529
8056, (151 N. Michigan Ave),"July 1st Beautiful 1BD on Michigan Ave-Close to Lake Shore! Gym, Pool",https://chicago.craigslist.org/chc/apa/d/chicago-july-1st-beautiful-1bd-on/7083467515.html,1825,-87.624485,41.884529
8057, (151 N. Michigan Ave),Michigan Ave Gorgeous 1BD! Complimentary Internet & DirecTV Cable!,https://chicago.craigslist.org/chc/apa/d/chicago-michigan-ave-gorgeous-1bd/7083468238.html,1875,-87.624485,41.884529
